3058,-2304,-2029,-8185,6167,-5431,6167,-4647,4092,-5431,4092,-3603
3808,-2767,-2564,-3803,2763,-2560,2763,-2007,1860,-2560,1860,-1723
821,1173,-842,-10529,-15037,-10790,-15037,-21475,-15409,-10790,-15409,-11057
815,1164,-835,-10558,-15078,-10819,-15078,-21534,-15452,-10819,-15452,-11087
801,1188,-862,-10007,-14837,-10770,-14837,-21997,-15968,-10770,-15968,-11591
780,1201,-901,-9493,-14619,-10969,-14619,-22511,-16891,-10969,-16891,-12675
763,1221,-925,-8971,-14357,-10882,-14357,-22977,-17415,-10882,-17415,-13200
745,1241,-968,-8457,-14076,-10988,-14076,-23427,-18287,-10988,-18287,-14276
728,1260,-1011,-7955,-13778,-11052,-13778,-23865,-19143,-11052,-19143,-15355
709,1280,-1035,-7464,-13465,-10886,-13465,-24292,-19640,-10886,-19640,-15878
-32412,4555,-24702,6631,-931,-5053,-931,130,710,-5053,710,3851
-32412,4555,-24702,6631,-931,-5053,-931,130,710,-5053,710,3851
-32487,3988,-24702,6661,-817,-5065,-817,100,621,-5065,621,3851
-32551,3421,-25073,6688,-702,-5151,-702,73,541,-5151,541,3968
-32606,2852,-25792,6710,-587,-5308,-587,51,464,-5308,464,4198
-32651,2283,-26140,6729,-470,-5387,-470,32,376,-5387,376,4312
-1040,54,-842,30320,-1589,-24563,-1589,83,1287,-24563,1287,19899
-1041,36,-863,30366,-1060,-25190,-1060,37,879,-25190,879,20896
-354,-2520,-2181,-447,-3185,2757,-3185,-22663,19617,2757,19617,-16980
-353,-2514,-2198,-448,-3191,2791,-3191,-22710,19861,2791,19861,-17369
-304,-2479,-2163,-348,-2841,2478,-2841,-23138,20188,2478,20188,-17615
-3421,-32551,-28899,73,702,-624,702,6688,-5937,-624,-5937,5271
-2852,-32606,-29163,51,587,-525,587,6710,-6002,-525,-6002,5368
-2283,-32651,-29418,32,470,-423,470,6729,-6062,-423,-6062,5462
-1713,-32686,-29664,18,353,-320,353,6743,-6120,-320,-6120,5554
-1142,-32711,-29664,8,235,-213,235,6753,-6124,-213,-6124,5554
5314,-278,-4898,-897,47,-827,47,-2,43,-827,43,-762
5348,-186,-4926,-659,23,-607,23,0,21,-607,21,-559
5326,-92,-4903,-859,15,-791,15,0,13,-791,13,-728
5323,0,-4899,-892,0,-821,0,0,0,-821,0,-755
5344,93,-4920,-715,-12,-658,-12,0,-11,-658,-11,-606
5328,186,-4908,-819,-28,-754,-28,0,-26,-754,-26,-694
5334,279,-4953,-737,-38,-685,-38,-2,-35,-685,-35,-636
5381,376,-5002,-314,-21,-292,-21,-1,-20,-292,-20,-271
765,2668,-2573,-1615,-5633,-5434,-5633,-19647,-18950,-5434,-18950,-18279
759,2647,-2553,-1628,-5680,-5479,-5680,-19810,-19107,-5479,-19107,-18430
530,1979,-1899,-1813,-6769,-6497,-6769,-25264,-24250,-6497,-24250,-23278
494,1985,-1897,-1586,-6361,-6079,-6361,-25515,-24382,-6079,-24382,-23298
459,1989,-1893,-1373,-5947,-5659,-5947,-25760,-24513,-5659,-24513,-23326
424,1996,-1878,-1173,-5519,-5194,-5519,-25968,-24438,-5194,-24438,-22998
383,1973,-1850,-997,-5130,-4810,-5130,-26392,-24749,-4810,-24749,-23208
337,1914,-1789,-841,-4774,-4462,-4774,-27076,-25308,-4462,-25308,-23655
-884,-61,-810,29022,2029,-26577,2029,141,-1858,-26577,-1858,24339
-884,-61,-810,29022,2029,-26577,2029,141,-1858,-26577,-1858,24339
-886,-77,-813,28966,2534,-26563,2534,221,-2323,-26563,-2323,24359
-886,-93,-813,28876,3035,-26525,3035,319,-2787,-26525,-2787,24365
-885,-108,-808,28770,3532,-26270,3532,433,-3225,-26270,-3225,23987
-885,-124,-803,28654,4027,-26007,4027,565,-3655,-26007,-3655,23604
-884,-140,-805,28520,4517,-25953,4517,715,-4110,-25953,-4110,23617
-882,-155,-805,28354,4999,-25877,4999,881,-4562,-25877,-4562,23617
